airport_code,airport_name,cloud,condition,condition_code,dewpoint,feels_like,gust_speed,humidity,latitude,longitude,precipitation,pressure,rain_probability,snow_probability,temperature,timestamp,uv_index,visibility,wind_direction,wind_direction_symbol,wind_speed
SGN,Sân bay Quốc tế Tân Sơn Nhất,28,Partly cloudy,1003,24.1,31.4,12.1,82,10.8187999725,106.652000427,0.0,1009.0,0,0,27.4,2024-08-13 21:00,0.0,10.0,224,SW,11.5
SGN,Sân bay Quốc tế Tân Sơn Nhất,27,Partly cloudy,1003,24.0,30.8,10.8,84,10.8187999725,106.652000427,0.0,1009.0,0,0,27.0,2024-08-13 22:00,0.0,10.0,229,SW,10.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,27,Partly cloudy,1003,24.1,30.4,9.5,85,10.8187999725,106.652000427,0.0,1009.0,0,0,26.7,2024-08-13 23:00,0.0,10.0,225,SW,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,28,Partly cloudy,1003,23.8,30.2,10.5,84,10.8187999725,106.652000427,0.0,1009.0,0,0,26.7,2024-08-14 00:00,0.0,10.0,239,WSW,10.1
SGN,Sân bay Quốc tế Tân Sơn Nhất,23,Clear,1000,23.8,29.8,9.7,86,10.8187999725,106.652000427,0.0,1008.0,0,0,26.4,2024-08-14 01:00,0.0,10.0,240,WSW,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,28,Partly cloudy,1003,23.9,29.6,8.2,87,10.8187999725,106.652000427,0.0,1008.0,0,0,26.2,2024-08-14 02:00,0.0,10.0,240,WSW,7.9
SGN,Sân bay Quốc tế Tân Sơn Nhất,12,Clear,1000,23.9,29.4,8.2,88,10.8187999725,106.652000427,0.0,1008.0,0,0,26.1,2024-08-14 03:00,0.0,10.0,240,WSW,7.9
SGN,Sân bay Quốc tế Tân Sơn Nhất,16,Clear,1000,23.9,29.2,7.4,89,10.8187999725,106.652000427,0.0,1008.0,0,0,25.9,2024-08-14 04:00,0.0,10.0,241,WSW,7.2
SGN,Sân bay Quốc tế Tân Sơn Nhất,20,Clear,1000,23.9,29.0,5.6,90,10.8187999725,106.652000427,0.0,1008.0,0,0,25.7,2024-08-14 05:00,0.0,10.0,237,WSW,5.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,21,Sunny,1000,24.0,29.0,6.2,90,10.8187999725,106.652000427,0.0,1008.0,0,0,25.8,2024-08-14 06:00,7.0,10.0,229,SW,6.1
SGN,Sân bay Quốc tế Tân Sơn Nhất,22,Sunny,1000,24.2,30.8,5.1,85,10.8187999725,106.652000427,0.0,1009.0,0,0,26.9,2024-08-14 07:00,7.0,10.0,231,SW,6.1
SGN,Sân bay Quốc tế Tân Sơn Nhất,46,Partly cloudy,1003,24.2,33.1,6.1,78,10.8187999725,106.652000427,0.0,1009.0,0,0,28.5,2024-08-14 08:00,7.0,10.0,227,SW,8.3
SGN,Sân bay Quốc tế Tân Sơn Nhất,58,Partly cloudy,1003,23.8,35.0,6.7,69,10.8187999725,106.652000427,0.0,1009.0,45,0,30.1,2024-08-14 09:00,8.0,10.0,228,SW,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,69,Patchy rain possible,1063,23.3,36.7,6.7,62,10.8187999725,106.652000427,0.02,1009.0,45,0,31.5,2024-08-14 10:00,7.0,10.0,231,SW,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,76,Patchy rain possible,1063,23.1,38.2,7.2,57,10.8187999725,106.652000427,0.03,1008.0,45,0,32.8,2024-08-14 11:00,7.0,10.0,234,SW,10.1
SGN,Sân bay Quốc tế Tân Sơn Nhất,93,Overcast,1009,22.7,38.8,7.2,53,10.8187999725,106.652000427,0.0,1007.0,45,0,33.5,2024-08-14 12:00,7.0,10.0,234,SW,10.1
SGN,Sân bay Quốc tế Tân Sơn Nhất,71,Cloudy,1006,22.4,39.2,7.0,51,10.8187999725,106.652000427,0.0,1006.0,45,0,34.0,2024-08-14 13:00,7.0,10.0,236,WSW,9.7
SGN,Sân bay Quốc tế Tân Sơn Nhất,44,Partly cloudy,1003,22.1,39.5,6.7,49,10.8187999725,106.652000427,0.0,1005.0,45,0,34.4,2024-08-14 14:00,8.0,10.0,246,WSW,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,100,Patchy rain possible,1063,22.9,39.2,6.8,54,10.8187999725,106.652000427,0.09,1005.0,45,0,33.6,2024-08-14 15:00,7.0,10.0,238,WSW,8.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,55,Light rain shower,1240,23.9,36.1,8.1,67,10.8187999725,106.652000427,0.28,1005.0,100,0,30.8,2024-08-14 16:00,7.0,10.0,215,SW,9.0
